date;station_uuid;diesel;e5;e10;dieselchange;e5change;e10change
2022-09-05 17:12:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.929;1.869;1;1;1
2022-09-05 17:50:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.929;1.869;1;0;0
2022-09-05 18:17:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;0;1;1
2022-09-05 19:07:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.939;1.879;1;1;1
2022-09-05 19:31:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.939;1.879;1;0;0
2022-09-05 20:49:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;0;1;1
2022-09-06 05:01:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;2.179;2.119;1;1;1
2022-09-06 07:52:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.929;1.869;0;1;1
2022-09-06 09:01:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.269;1.979;1.919;1;1;1
2022-09-06 10:23:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.259;1.979;1.919;1;0;0
2022-09-06 11:07:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.249;1.979;1.919;1;0;0
2022-09-06 11:15:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.929;1.869;1;1;1
2022-09-06 11:29:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.929;1.869;1;0;0
2022-09-06 12:10:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.269;1.979;1.919;1;1;1
2022-09-06 12:14:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.259;1.979;1.919;1;0;0
2022-09-06 12:16:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.249;1.979;1.919;1;0;0
2022-09-06 12:34:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.249;1.959;1.899;0;1;1
2022-09-06 14:08:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.959;1.899;1;0;0
2022-09-06 14:19:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;1;1;1
2022-09-06 14:39:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.909;1.849;1;0;0
2022-09-06 15:02:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.949;1.889;1;1;1
2022-09-06 15:08:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.939;1.879;0;1;1
2022-09-06 16:27:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.909;1.849;1;1;1
2022-09-06 17:02:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.929;1.869;1;1;1
2022-09-06 17:11:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.919;1.859;0;1;1
2022-09-06 17:44:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.919;1.859;1;0;0
2022-09-06 18:10:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.909;1.849;1;1;1
2022-09-06 18:30:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.899;1.839;0;1;1
2022-09-06 19:02:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.929;1.869;1;1;1
2022-09-06 20:33:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.899;1.839;1;1;1
2022-09-06 20:40:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.899;1.839;1;0;0
2022-09-07 05:01:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;2.159;2.099;1;1;1
2022-09-07 07:50:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.919;1.859;0;1;1
2022-09-07 09:03:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.249;1.969;1.909;1;1;1
2022-09-07 09:31:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.969;1.909;1;0;0
2022-09-07 09:41:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.959;1.899;0;1;1
